"YUKU LINK","NFT #","PRODUCT LINK",IMAGES,"URL LINK TO IMAGE","QR CODE",,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/b7bbr-oqkor-uwiaa-aaaaa-dyacw-aaqca-aaaaa-a,Bereshit Wall #1,https://revelation-walls.printify.me/product/22432198/bereshit-wall-1-purple-love,,https://images-api.printify.com/mockup/689e6b7cd2126c7c930b1022/88290/103212/bereshit-wall-1-purple-love.jpg?camera_label=front&revision=1755216404003&s=400,,,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/pdcsq-lakor-uwiaa-aaaaa-dyacw-aaqca-aaaaa-q,Bereshit Wall #2,https://revelation-walls.printify.me/product/22432351/bereshit-wall-2-purple-branches,,https://images-api.printify.com/mockup/689e7a838cb37ad5d409ff03/111821/107693/bereshit-wall-2-purple-branches.jpg?camera_label=front&revision=1755403044683&s=400,,,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/4hght-fqkor-uwiaa-aaaaa-dyacw-aaqca-aaaab-a,Bereshit Wall #3,https://revelation-walls.printify.me/product/22486240/bereshit-wall-3-peace-is-the-word,,https://images-api.printify.com/mockup/68a1538f84289d63a50c0300/88296/103227/bereshit-wall-3-peace-is-the-word.jpg?camera_label=front&revision=1755403433604&s=400,,,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/s3fus-aakor-uwiaa-aaaaa-dyacw-aaqca-aaaab-q,Bereshit Wall #4,https://revelation-walls.printify.me/product/22432489/bereshit-wall-4-purple-fire,,https://images-api.printify.com/mockup/689e7c5d451282a7b70e57fb/88296/103227/bereshit-wall-4-purple-fire.jpg?camera_label=front&revision=1755264939321&s=400,,,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/bcx5z-iykor-uwiaa-aaaaa-dyacw-aaqca-aaaac-a,Bereshit Wall #5,https://revelation-walls.printify.me/product/22443300/bereshit-wall-5-ring-of-fire,,https://images-api.printify.com/mockup/689f3820694c9600c9083336/107253/103789/bereshit-wall-5-ring-of-fire.jpg?camera_label=side&revision=1755266395698&s=400,,,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/p6uoy-nikor-uwiaa-aaaaa-dyacw-aaqca-aaaac-q,Bereshit Wall #6,https://revelation-walls.printify.me/product/22443389/bereshit-wall-6-purple-vibrations,,https://images-api.printify.com/mockup/689f3d9dd23165782a09b20b/88296/103227/bereshit-wall-6-purple-vibrations.jpg?camera_label=front&revision=1755266737280&s=400,,,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/42q33-dykor-uwiaa-aaaaa-dyacw-aaqca-aaaad-a,Bereshit Wall #7,https://revelation-walls.printify.me/product/22443465/bereshit-wall-7-wings-of-fire,,https://images-api.printify.com/mockup/689f3ee384289d63a50b713a/88296/103227/bereshit-wall-7-wings-of-fire.jpg?camera_label=front&revision=1755267039454&s=400,,,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/sgti2-gikor-uwiaa-aaaaa-dyacw-aaqca-aaaad-q,Bereshit Wall #8,https://revelation-walls.printify.me/product/22443645/bereshit-wall-8-peace-on-the-mountain,,https://images-api.printify.com/mockup/689f3feda7bcbeda4b0c2608/107277/103226/bereshit-wall-8-peace-on-the-mountain.jpg?camera_label=front&revision=1755267950543&s=400,,,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/aemzb-cakor-uwiaa-aaaaa-dyacw-aaqca-aaaae-a,Bereshit Wall #9,https://revelation-walls.printify.me/product/22443709/bereshit-wall-9-duck-head-in-color,,https://images-api.printify.com/mockup/689f428337f23f04cd028a88/88296/103227/bereshit-wall-9-duck-head-in-color.jpg?camera_label=front&revision=1755267920021&s=400,,,,,,,,,,,,,,,,,,,,,,,
https://yuku.app/market/afeuw-qaaaa-aaaap-aakya-cai/oypka-hqkor-uwiaa-aaaaa-dyacw-aaqca-aaaae-q,Bereshit Wall #10,https://revelation-walls.printify.me/product/22443957/bereshit-wall-10-big-head-duck-in-repose,,https://images-api.printify.com/mockup/689f437a37f23f04cd028aaf/88296/103227/bereshit-wall-10-big-head-duck-in-repose.jpg?camera_label=front&revision=1755268707931&s=400,,,,,,,,,,,,,,,,,,,,,,,
