collectionName,collectionCanisterId,tokenIdInCanister,tokenIdVisible,tokenIdentifier,mediaUrl
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,0,0,b7bbr-oqkor-uwiaa-aaaaa-dyacw-aaqca-aaaaa-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/0.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,1,1,pdcsq-lakor-uwiaa-aaaaa-dyacw-aaqca-aaaaa-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/1.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,2,2,4hght-fqkor-uwiaa-aaaaa-dyacw-aaqca-aaaab-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/2.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,3,3,s3fus-aakor-uwiaa-aaaaa-dyacw-aaqca-aaaab-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/3.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,4,4,bcx5z-iykor-uwiaa-aaaaa-dyacw-aaqca-aaaac-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/4.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,5,5,p6uoy-nikor-uwiaa-aaaaa-dyacw-aaqca-aaaac-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/5.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,6,6,42q33-dykor-uwiaa-aaaaa-dyacw-aaqca-aaaad-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/6.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,7,7,sgti2-gikor-uwiaa-aaaaa-dyacw-aaqca-aaaad-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/7.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,8,8,aemzb-cakor-uwiaa-aaaaa-dyacw-aaqca-aaaae-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/8.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,9,9,oypka-hqkor-uwiaa-aaaaa-dyacw-aaqca-aaaae-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/9.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,10,10,54l7d-jakor-uwiaa-aaaaa-dyacw-aaqca-aaaaf-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/10.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,11,11,taimc-mqkor-uwiaa-aaaaa-dyacw-aaqca-aaaaf-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/11.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,12,12,az2fj-eikor-uwiaa-aaaaa-dyacw-aaqca-aaaag-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/12.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,13,13,ofzwi-bykor-uwiaa-aaaaa-dyacw-aaqca-aaaag-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/13.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,14,14,5b5dl-pikor-uwiaa-aaaaa-dyacw-aaqca-aaaah-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/14.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,15,15,t56qk-kykor-uwiaa-aaaaa-dyacw-aaqca-aaaah-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/15.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,16,16,cj2qr-xqkor-uwiaa-aaaaa-dyacw-aaqca-aaaai-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/16.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,17,17,mvzdq-sakor-uwiaa-aaaaa-dyacw-aaqca-aaaai-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/17.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,18,18,7r5wt-4qkor-uwiaa-aaaaa-dyacw-aaqca-aaaaj-a,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/18.png
Revelation Walls,afeuw-qaaaa-aaaap-aakya-cai,19,19,rn6fs-zakor-uwiaa-aaaaa-dyacw-aaqca-aaaaj-q,https://6mgqg-lqaaa-aaaag-abb2q-cai.raw.ic0.app/file/19.png
